{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5681124145846597 0.005286526839117073
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5603203187483243 0.004982351881832269
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5693122882140339 0.005393876301559774
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5615074778732786 0.006010013534640517
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 0, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5697423277993127 0.005451079451523748
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 0.7, 'learning_rate': 0.1} -0.5633991743349025 0.005709536044582343
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 1, 'reg_lambda': 1, 'max_depth': 5, 'subsample': 1, 'learning_rate': 0.1} -0.5714456148766883 0.0056071823907427685
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.5131393553024161 0.00624991718206818
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 0, 'max_depth': 7, 'subsample': 1, 'learning_rate': 0.1} -0.5258671883699596 0.005743320091053799
{'objective': 'binary:logistic', 'n_estimators': 100, 'n_jobs': 7, 'colsample_bytree': 1, 'reg_alpha': 0, 'reg_lambda': 1, 'max_depth': 7, 'subsample': 0.7, 'learning_rate': 0.1} -0.5158633866177977 0.0067403031156144455
